node_label,value
204,-0.0005316902
225,-0.00052252144
554,-0.000625729
564,-0.0006489048
565,-0.0006234868
566,-0.00080955104
572,-0.0008766941
993,-0.00064999907
1117,-0.000614183
1121,-0.0006075859
1153,-0.00073722773
1213,-0.00063254137
1319,-0.00072904304
1392,-0.00077930104
1489,-0.0006478784
1490,-0.000677903
1548,-0.0006283066
1614,-0.0006019391
1654,-0.0005384995
1737,-0.00093109935
1818,-0.0009221009
1852,-0.00069852074
1876,-0.00089152454
2019,-0.00082281814
2140,-0.0006001839
2222,-0.00064491015
2449,-0.0009100321
2450,-0.0006196541
2470,-0.0006603285
2478,-0.0005468519
2495,-0.0007378336
2513,-0.00062011933
2560,-0.0005954131
2688,-0.000606526
2715,-0.0006320619
2861,-0.0009135859
2919,-0.00062865776
3066,-0.00083533843
3167,-0.00075849827
3232,-0.0007922138
3261,-0.0005956214
3331,-0.00059912895
3445,-0.00067572604
3662,-0.00058660563
3702,-0.00070864684
3703,-0.00062168686
4027,-0.0008548497
4045,-0.00073384325
4426,-0.0005225078
4549,-0.0008450313
4779,-0.00054715347
4813,-0.0007510631
5089,-0.0006803596
5090,-0.00075724995
5142,-0.00056105846
5849,-0.00071969064
5856,-0.0007889971
6299,-0.00062866404
6824,-0.0005740254
7379,-0.0007882646
7510,-0.0007213498
7700,-0.00055178493
8930,-0.00075978733
10862,-0.000619023
11395,-0.0006187735
11855,-0.0005631021
12075,-0.00058898964
12186,-0.0006209096
12205,-0.0005334466
12445,-0.0005905488
13407,-0.0006801175
13828,-0.00065371726
14318,-0.00068157405
14372,-0.00061045395
15003,-0.0005807292
15956,-0.00060537446
15980,-0.000699816
16243,-0.00060458307
16504,-0.00069240975
16547,-0.0006339402
18044,-0.00058683974
18444,-0.000901961
18699,-0.000659486
19096,-0.0005946833
19262,-0.0005348403
19504,-0.00056227524
22692,-0.00052083214
22928,-0.000648597
23311,-0.0005696598
23328,-0.0006607072
23480,-0.0006050026
25109,-0.0006661406
25389,-0.0006440979
26338,-0.0005172934
27007,-0.0005303971
27731,-0.0006280094
28775,-0.0005682721
28794,-0.00063214736
29355,-0.000606621
29901,-0.00064073515
30155,-0.00062063267
30253,-0.0006570208
30613,-0.00054425537
31345,-0.00062426296
31656,-0.00063956535
32720,-0.0006420851
33053,-0.0005740014
33207,-0.0006224988
33334,-0.0005351516
35106,-0.0005577452
35647,-0.0005665132
35728,-0.0005723774
37137,-0.0006522311
37375,-0.000542942
37848,-0.00052910595
38000,-0.00064374175
38641,-0.0006211756
39402,-0.0007039687
39762,-0.0005280775
39930,-0.00065176154
40521,-0.00057828886
41076,-0.0006110466
41161,-0.000614101
42546,-0.0006177006
43252,-0.00065148255
43725,-0.0006151165
43901,-0.00054471544
44409,-0.00051994686
45070,-0.0006631422
45877,-0.00060988433
45975,-0.00058821763
46314,-0.0005929031
47853,-0.0006628897
48022,-0.00052975793
48383,-0.00067156844
48846,-0.00065208104
49770,-0.0005583113
49978,-0.0006682997
50342,-0.0006693458
50763,-0.000546777
51442,-0.00057241187
52484,-0.0005693653
52512,-0.0006716795
55436,-0.000691017
57127,-0.0006952229
57134,-0.00081621436
57821,-0.00060880336
59331,-0.00059815135
59552,-0.0008154155
59887,-0.0006711723
59981,-0.0006470345
60787,-0.00071568607
62049,-0.0005550675
64252,-0.0007451396
64449,-0.00073868013
64558,-0.0007234798
66426,-0.0007630351
69522,-0.0007713646
69701,-0.00071795733
70783,-0.0008071885
71268,-0.0008697947
71476,-0.00057508366
71630,-0.0007565643
73652,-0.0007400132
74274,-0.00084020547
74566,-0.000752302
75118,-0.00054176437
76182,-0.0007226472
76183,-0.00085940544
76277,-0.00076769653
77807,-0.0007940202
77914,-0.0007353789
78200,-0.0008202945
78233,-0.00077367155
78722,-0.00090508326
79275,-0.0005895553
82645,-0.0006222284
82780,-0.0008455506
82803,-0.000980981
83003,-0.000995607
83137,-0.0006167817
83565,-0.0006350065
83569,-0.0005591134
84121,-0.0010610552
84378,-0.0005196645
84507,-0.0008913554
85555,-0.001073873
86126,-0.0011208997
86305,-0.0010266427
86404,-0.0006503203
86584,-0.00089095836
86809,-0.0007760126
86828,-0.00066349417
86831,-0.00094275485
86918,-0.0006714912
86946,-0.0009276386
86971,-0.0011306928
86995,-0.0009426605
87088,-0.00092833175
87145,-0.00066889985
87202,-0.0006695143
87311,-0.0011850882
87425,-0.0007248947
87488,-0.00076590985
87491,-0.00068435393
87511,-0.0006834077
87652,-0.0010524677
